year,month,day_of_week,day_type,mode_canonical,pax_daily
2018,1,Friday,School Holiday Weekday,metro_bus,268350
2018,1,Friday,School Holiday Weekday,metro_train,570700
2018,1,Friday,School Holiday Weekday,regional_bus,21550
2018,1,Friday,School Holiday Weekday,regional_train,43700
2018,1,Friday,School Holiday Weekday,metro_tram,529250
2018,1,Monday,Normal Weekday,metro_bus,308450
2018,1,Monday,Normal Weekday,metro_train,638350
2018,1,Monday,Normal Weekday,regional_bus,22600
2018,1,Monday,Normal Weekday,regional_train,47700
2018,1,Monday,Normal Weekday,metro_tram,534800
2018,1,Monday,School Holiday Weekday,metro_bus,298500
2018,1,Monday,School Holiday Weekday,metro_train,636150
2018,1,Monday,School Holiday Weekday,regional_bus,23150
2018,1,Monday,School Holiday Weekday,regional_train,49650
2018,1,Monday,School Holiday Weekday,metro_tram,562150
2018,1,Saturday,Weekend,metro_bus,154100
2018,1,Saturday,Weekend,metro_train,333700
2018,1,Saturday,Weekend,regional_bus,13100
2018,1,Saturday,Weekend,regional_train,20600
2018,1,Saturday,Weekend,metro_tram,393050
2018,1,Sunday,Weekend,metro_bus,105100
2018,1,Sunday,Weekend,metro_train,249600
2018,1,Sunday,Weekend,regional_bus,8600
2018,1,Sunday,Weekend,regional_train,18350
2018,1,Sunday,Weekend,metro_tram,325900
2018,1,Thursday,School Holiday Weekday,metro_bus,298100
2018,1,Thursday,School Holiday Weekday,metro_train,617350
2018,1,Thursday,School Holiday Weekday,regional_bus,24400
2018,1,Thursday,School Holiday Weekday,regional_train,47450
2018,1,Thursday,School Holiday Weekday,metro_tram,563600
2018,1,Tuesday,Normal Weekday,metro_bus,359800
2018,1,Tuesday,Normal Weekday,metro_train,729400
2018,1,Tuesday,Normal Weekday,regional_bus,26950
2018,1,Tuesday,Normal Weekday,regional_train,52550
2018,1,Tuesday,Normal Weekday,metro_tram,610600
2018,1,Tuesday,School Holiday Weekday,metro_bus,295500
2018,1,Tuesday,School Holiday Weekday,metro_train,618050
2018,1,Tuesday,School Holiday Weekday,regional_bus,23300
2018,1,Tuesday,School Holiday Weekday,regional_train,48050
2018,1,Tuesday,School Holiday Weekday,metro_tram,558300
2018,1,Wednesday,Normal Weekday,metro_bus,400250
2018,1,Wednesday,Normal Weekday,metro_train,716600
2018,1,Wednesday,Normal Weekday,regional_bus,31300
2018,1,Wednesday,Normal Weekday,regional_train,48600
2018,1,Wednesday,Normal Weekday,metro_tram,611100
2018,1,Wednesday,School Holiday Weekday,metro_bus,299950
2018,1,Wednesday,School Holiday Weekday,metro_train,630400
2018,1,Wednesday,School Holiday Weekday,regional_bus,24400
2018,1,Wednesday,School Holiday Weekday,regional_train,48750
2018,1,Wednesday,School Holiday Weekday,metro_tram,570050
2018,2,Friday,Normal Weekday,metro_bus,449650
2018,2,Friday,Normal Weekday,metro_train,784400
2018,2,Friday,Normal Weekday,regional_bus,39800
2018,2,Friday,Normal Weekday,regional_train,54050
2018,2,Friday,Normal Weekday,metro_tram,691500
2018,2,Monday,Normal Weekday,metro_bus,462750
2018,2,Monday,Normal Weekday,metro_train,770350
2018,2,Monday,Normal Weekday,regional_bus,40150
2018,2,Monday,Normal Weekday,regional_train,52950
2018,2,Monday,Normal Weekday,metro_tram,657250
2018,2,Saturday,Weekend,metro_bus,186950
2018,2,Saturday,Weekend,metro_train,428750
2018,2,Saturday,Weekend,regional_bus,15700
2018,2,Saturday,Weekend,regional_train,26000
2018,2,Saturday,Weekend,metro_tram,469550
2018,2,Sunday,Weekend,metro_bus,117350
2018,2,Sunday,Weekend,metro_train,284150
2018,2,Sunday,Weekend,regional_bus,9950
2018,2,Sunday,Weekend,regional_train,19050
2018,2,Sunday,Weekend,metro_tram,375550
2018,2,Thursday,Normal Weekday,metro_bus,460750
2018,2,Thursday,Normal Weekday,metro_train,777800
2018,2,Thursday,Normal Weekday,regional_bus,40400
2018,2,Thursday,Normal Weekday,regional_train,53800
2018,2,Thursday,Normal Weekday,metro_tram,672900
2018,2,Tuesday,Normal Weekday,metro_bus,475950
2018,2,Tuesday,Normal Weekday,metro_train,806800
2018,2,Tuesday,Normal Weekday,regional_bus,41750
2018,2,Tuesday,Normal Weekday,regional_train,56150
2018,2,Tuesday,Normal Weekday,metro_tram,686050
2018,2,Wednesday,Normal Weekday,metro_bus,468400
2018,2,Wednesday,Normal Weekday,metro_train,803550
2018,2,Wednesday,Normal Weekday,regional_bus,40800
2018,2,Wednesday,Normal Weekday,regional_train,58800
2018,2,Wednesday,Normal Weekday,metro_tram,692450
2018,3,Friday,Normal Weekday,metro_bus,484100
2018,3,Friday,Normal Weekday,metro_train,894550
2018,3,Friday,Normal Weekday,regional_bus,41950
2018,3,Friday,Normal Weekday,regional_train,59800
2018,3,Friday,Normal Weekday,metro_tram,792550
2018,3,Monday,Normal Weekday,metro_bus,478600
2018,3,Monday,Normal Weekday,metro_train,827100
2018,3,Monday,Normal Weekday,regional_bus,40500
2018,3,Monday,Normal Weekday,regional_train,58650
2018,3,Monday,Normal Weekday,metro_tram,718900
2018,3,Saturday,Weekend,metro_bus,192850
2018,3,Saturday,Weekend,metro_train,436850
2018,3,Saturday,Weekend,regional_bus,15600
2018,3,Saturday,Weekend,regional_train,29750
2018,3,Saturday,Weekend,metro_tram,493250
2018,3,Sunday,Weekend,metro_bus,132150
2018,3,Sunday,Weekend,metro_train,337300
2018,3,Sunday,Weekend,regional_bus,9750
