year,month,mode_canonical,patronage
2018,1,metro_train,16809932
2018,2,metro_train,19554477
2018,3,metro_train,22659010
2018,4,metro_train,20312040
2018,5,metro_train,22768447
2018,6,metro_train,19284755
2018,7,metro_train,20732099
2018,8,metro_train,22566766
2018,9,metro_train,20056487
2018,10,metro_train,22299761
2018,11,metro_train,20806123
2018,12,metro_train,16665365
2019,1,metro_train,17074623
2019,2,metro_train,20011823
2019,3,metro_train,22250796
2019,4,metro_train,18579825
2019,5,metro_train,23045436
2019,6,metro_train,19099513
2019,7,metro_train,20771347
2019,8,metro_train,22618021
2019,9,metro_train,20593343
2019,10,metro_train,22429337
2019,11,metro_train,20413342
2019,12,metro_train,17890229
2020,1,metro_train,17015987
2020,2,metro_train,19811543
2020,3,metro_train,13746958
2020,4,metro_train,2165747
2020,5,metro_train,3670296
2020,6,metro_train,6432121
2020,7,metro_train,3963903
2020,8,metro_train,1887499
2020,9,metro_train,1931257
2020,10,metro_train,3388960
2020,11,metro_train,6439402
2020,12,metro_train,7868276
2021,1,metro_train,7231312
2021,2,metro_train,7822660
2021,3,metro_train,11852314
2021,4,metro_train,11632636
2021,5,metro_train,11375712
2021,6,metro_train,6321515
2021,7,metro_train,7512489
2021,8,metro_train,3954587
2021,9,metro_train,2769485
2021,10,metro_train,3995863
2021,11,metro_train,8341146
2021,12,metro_train,9127862
2022,1,metro_train,5778986
2022,2,metro_train,8382008
2022,3,metro_train,13045722
2022,4,metro_train,11890697
2022,5,metro_train,12833409
2022,6,metro_train,11842624
2022,7,metro_train,12019600
2022,8,metro_train,13095346
2022,9,metro_train,12936260
2022,10,metro_train,12909284
2022,11,metro_train,13072188
2022,12,metro_train,11867965
2023,1,metro_train,10109375
2023,2,metro_train,12831622
2023,3,metro_train,16527142
2023,4,metro_train,13288137
2023,5,metro_train,15312507
2023,6,metro_train,13115087
2023,7,metro_train,14020167
2023,8,metro_train,16437412
2023,9,metro_train,14847177
2023,10,metro_train,15199277
2023,11,metro_train,14653512
2023,12,metro_train,13516661
2024,1,metro_train,13254775
2024,2,metro_train,15828610
2024,3,metro_train,17171572
2024,4,metro_train,15943432
2024,5,metro_train,17201139
2024,6,metro_train,14454677
2024,7,metro_train,15901814
2024,8,metro_train,17273609
2024,9,metro_train,15323401
2024,10,metro_train,16934209
2024,11,metro_train,14968410
2024,12,metro_train,13603360
2025,1,metro_train,13379440
2025,2,metro_train,14514256
2025,3,metro_train,17994138
2025,4,metro_train,15480989
2025,5,metro_train,17588793
2025,6,metro_train,14442545
2025,7,metro_train,15451503
2025,8,metro_train,16189046
2025,9,metro_train,14998479
2025,10,metro_train,15977164
2025,11,metro_train,14297664
2025,12,metro_train,14894850
2026,1,metro_train,14263509
2018,1,metro_tram,15231368
2018,2,metro_tram,16980925
2018,3,metro_tram,19832126
2018,4,metro_tram,16919872
2018,5,metro_tram,17691427
2018,6,metro_tram,15836171
2018,7,metro_tram,17169239
2018,8,metro_tram,18415592
2018,9,metro_tram,15892774
2018,10,metro_tram,18677490
2018,11,metro_tram,17398998
2018,12,metro_tram,15404107
2019,1,metro_tram,15695535
2019,2,metro_tram,16485000
2019,3,metro_tram,19456794
2019,4,metro_tram,17400302
2019,5,metro_tram,18410816
2019,6,metro_tram,15041547
2019,7,metro_tram,16784796
2019,8,metro_tram,17578879
2019,9,metro_tram,15733247
2019,10,metro_tram,16917616
2019,11,metro_tram,15344062
2019,12,metro_tram,13736921
2020,1,metro_tram,13396238
2020,2,metro_tram,14656787
2020,3,metro_tram,9602985
2020,4,metro_tram,1376119
2020,5,metro_tram,2587250
2020,6,metro_tram,4080847
2020,7,metro_tram,2505061
2020,8,metro_tram,1224017
2020,9,metro_tram,1245928
2020,10,metro_tram,2130346
2020,11,metro_tram,4511166
2020,12,metro_tram,5995164
2021,1,metro_tram,5553277
2021,2,metro_tram,5882295
2021,3,metro_tram,8750223
2021,4,metro_tram,9123455
2021,5,metro_tram,8761433
2021,6,metro_tram,4557256
2021,7,metro_tram,5093722
2021,8,metro_tram,2686330
2021,9,metro_tram,1910362
2021,10,metro_tram,3102681
2021,11,metro_tram,7034365
2021,12,metro_tram,8359146
2022,1,metro_tram,5372999
2022,2,metro_tram,7962117
2022,3,metro_tram,11614262
2022,4,metro_tram,10065400
2022,5,metro_tram,10150913
2022,6,metro_tram,9590565
2022,7,metro_tram,11129287
2022,8,metro_tram,12361088
2022,9,metro_tram,11791504
2022,10,metro_tram,12080170
2022,11,metro_tram,12137205
2022,12,metro_tram,10945095
2023,1,metro_tram,12245668
2023,2,metro_tram,12894448
2023,3,metro_tram,15292063
2023,4,metro_tram,12402173
2023,5,metro_tram,12760569
2023,6,metro_tram,11602791
2023,7,metro_tram,12335062
2023,8,metro_tram,13280460
2023,9,metro_tram,12149257
2023,10,metro_tram,12453509
2023,11,metro_tram,12503061
2023,12,metro_tram,12173168
2024,1,metro_tram,11821351
2024,2,metro_tram,13427105
2024,3,metro_tram,14840535
2024,4,metro_tram,14241713
2024,5,metro_tram,13914626
2024,6,metro_tram,11656478
2024,7,metro_tram,13019738
2024,8,metro_tram,13714916
2024,9,metro_tram,11695377
2024,10,metro_tram,14575255
2024,11,metro_tram,13548253
2024,12,metro_tram,13101396
2025,1,metro_tram,12523366
2025,2,metro_tram,13058985
2025,3,metro_tram,15300456
2025,4,metro_tram,13414808
2025,5,metro_tram,14443916
2025,6,metro_tram,11792860
2025,7,metro_tram,12651420
2025,8,metro_tram,12233414
2025,9,metro_tram,11515404
2025,10,metro_tram,12402127
2025,11,metro_tram,12265500
2025,12,metro_tram,12069311
2026,1,metro_tram,
2018,1,metro_bus,7568547
2018,2,metro_bus,10487311
2018,3,metro_bus,11528895
2018,4,metro_bus,9592750
2018,5,metro_bus,11263486
2018,6,metro_bus,9526795
2018,7,metro_bus,9657327
2018,8,metro_bus,11756706
2018,9,metro_bus,9878596
2018,10,metro_bus,11233979
2018,11,metro_bus,10367915
2018,12,metro_bus,7941245
2019,1,metro_bus,7845144
2019,2,metro_bus,10105546
2019,3,metro_bus,11775566
2019,4,metro_bus,9667587
2019,5,metro_bus,12082141
2019,6,metro_bus,9515676
2019,7,metro_bus,10417277
2019,8,metro_bus,11485155
2019,9,metro_bus,10238956
2019,10,metro_bus,11294945
2019,11,metro_bus,10405336
2019,12,metro_bus,8858522
2020,1,metro_bus,8369145
2020,2,metro_bus,10407862
2020,3,metro_bus,7600641
2020,4,metro_bus,1507175
2020,5,metro_bus,2539068
2020,6,metro_bus,4752862
2020,7,metro_bus,3170618
2020,8,metro_bus,1793958
2020,9,metro_bus,2038847
2020,10,metro_bus,3769166
2020,11,metro_bus,5795635
2020,12,metro_bus,5885341
2021,1,metro_bus,4805284
2021,2,metro_bus,5617752
2021,3,metro_bus,7645169
2021,4,metro_bus,6628991
2021,5,metro_bus,6962665
2021,6,metro_bus,4452322
2021,7,metro_bus,4722392
2021,8,metro_bus,3102190
2021,9,metro_bus,2405774
2021,10,metro_bus,3435761
2021,11,metro_bus,6453897
2021,12,metro_bus,5912880
2022,1,metro_bus,4124071
2022,2,metro_bus,6205045
2022,3,metro_bus,8476974
2022,4,metro_bus,6870377
2022,5,metro_bus,7779324
2022,6,metro_bus,6943793
2022,7,metro_bus,7332966
2022,8,metro_bus,8338393
2022,9,metro_bus,7472155
2022,10,metro_bus,8156542
2022,11,metro_bus,8312554
2022,12,metro_bus,7434002
2023,1,metro_bus,7090984
2023,2,metro_bus,8608284
2023,3,metro_bus,10301621
2023,4,metro_bus,8124564
2023,5,metro_bus,9848630
2023,6,metro_bus,8635816
2023,7,metro_bus,9219892
2023,8,metro_bus,10304037
2023,9,metro_bus,9260131
2023,10,metro_bus,10083249
2023,11,metro_bus,9872183
2023,12,metro_bus,8548817
2024,1,metro_bus,8335210
2024,2,metro_bus,10441479
2024,3,metro_bus,10596736
2024,4,metro_bus,9271098
2024,5,metro_bus,10256661
2024,6,metro_bus,8706404
2024,7,metro_bus,9829583
2024,8,metro_bus,10737761
2024,9,metro_bus,9188549
2024,10,metro_bus,10555383
2024,11,metro_bus,9323924
2024,12,metro_bus,8687979
2025,1,metro_bus,8183939
2025,2,metro_bus,9179004
2025,3,metro_bus,10650660
2025,4,metro_bus,9353277
2025,5,metro_bus,10384586
2025,6,metro_bus,8809813
2025,7,metro_bus,9573219
2025,8,metro_bus,9969102
2025,9,metro_bus,9143531
2025,10,metro_bus,10077976
2025,11,metro_bus,8815809
2025,12,metro_bus,8281774
2026,1,metro_bus,7624940
2018,1,regional_train,1466256
2018,2,regional_train,1522981
2018,3,regional_train,1809774
2018,4,regional_train,1684827
2018,5,regional_train,1790656
2018,6,regional_train,1535636
2018,7,regional_train,1799245
2018,8,regional_train,1845673
2018,9,regional_train,1676490
2018,10,regional_train,1872410
2018,11,regional_train,1755492
2018,12,regional_train,1534399
2019,1,regional_train,1532342
2019,2,regional_train,1676391
2019,3,regional_train,1916630
2019,4,regional_train,1722745
2019,5,regional_train,2007166
2019,6,regional_train,1704331
2019,7,regional_train,1898701
2019,8,regional_train,1981136
2019,9,regional_train,1805116
2019,10,regional_train,1927784
2019,11,regional_train,1728907
2019,12,regional_train,1648394
2020,1,regional_train,1684792
2020,2,regional_train,1771293
2020,3,regional_train,1252698
2020,4,regional_train,245905
2020,5,regional_train,374640
2020,6,regional_train,580767
2020,7,regional_train,425103
2020,8,regional_train,222256
2020,9,regional_train,257723
2020,10,regional_train,365653
2020,11,regional_train,593115
2020,12,regional_train,894120
2021,1,regional_train,738979
2021,2,regional_train,759259
2021,3,regional_train,1182831
2021,4,regional_train,1199886
2021,5,regional_train,1117254
2021,6,regional_train,624054
2021,7,regional_train,688891
2021,8,regional_train,444102
2021,9,regional_train,257172
2021,10,regional_train,376222
2021,11,regional_train,759913
2021,12,regional_train,994159
2022,1,regional_train,675856
2022,2,regional_train,865020
2022,3,regional_train,1298156
2022,4,regional_train,1220454
2022,5,regional_train,1288118
2022,6,regional_train,1239135
2022,7,regional_train,1314106
2022,8,regional_train,1349992
2022,9,regional_train,1378784
2022,10,regional_train,1388467
2022,11,regional_train,1366061
2022,12,regional_train,1372918
2023,1,regional_train,1295225
2023,2,regional_train,1424645
2023,3,regional_train,1869164
2023,4,regional_train,1469224
2023,5,regional_train,1743181
2023,6,regional_train,1693444
2023,7,regional_train,1846565
2023,8,regional_train,1807251
2023,9,regional_train,1775964
2023,10,regional_train,1849701
2023,11,regional_train,1808656
2023,12,regional_train,1759529
2024,1,regional_train,1758433
2024,2,regional_train,1781717
2024,3,regional_train,2042080
2024,4,regional_train,2009412
2024,5,regional_train,2164662
2024,6,regional_train,1882061
2024,7,regional_train,2084437
2024,8,regional_train,2122092
2024,9,regional_train,1970804
2024,10,regional_train,2277335
2024,11,regional_train,2001615
2024,12,regional_train,1977501
2025,1,regional_train,1923083
2025,2,regional_train,1927292
2025,3,regional_train,2340160
2025,4,regional_train,2107410
2025,5,regional_train,2334482
2025,6,regional_train,1995473
2025,7,regional_train,2222082
2025,8,regional_train,2230571
2025,9,regional_train,2136275
2025,10,regional_train,2286247
2025,11,regional_train,2060472
2025,12,regional_train,2157499
2026,1,regional_train,1604510
2018,1,regional_coach,116568
2018,2,regional_coach,103197
2018,3,regional_coach,117180
2018,4,regional_coach,107480
2018,5,regional_coach,109456
2018,6,regional_coach,101215
2018,7,regional_coach,109103
2018,8,regional_coach,110348
2018,9,regional_coach,104525
2018,10,regional_coach,121267
2018,11,regional_coach,111699
2018,12,regional_coach,113023
2019,1,regional_coach,110708
2019,2,regional_coach,103886
2019,3,regional_coach,112302
2019,4,regional_coach,111012
2019,5,regional_coach,111604
2019,6,regional_coach,98137
2019,7,regional_coach,108706
2019,8,regional_coach,107987
2019,9,regional_coach,104419
2019,10,regional_coach,115819
2019,11,regional_coach,106782
2019,12,regional_coach,110447
2020,1,regional_coach,105751
2020,2,regional_coach,99955
2020,3,regional_coach,74665
2020,4,regional_coach,17602
2020,5,regional_coach,29670
2020,6,regional_coach,51732
2020,7,regional_coach,41425
2020,8,regional_coach,17890
2020,9,regional_coach,23051
2020,10,regional_coach,36990
2020,11,regional_coach,51260
2020,12,regional_coach,74068
2021,1,regional_coach,60026
2021,2,regional_coach,54099
2021,3,regional_coach,75765
2021,4,regional_coach,75002
2021,5,regional_coach,66206
2021,6,regional_coach,46233
2021,7,regional_coach,45599
2021,8,regional_coach,33264
2021,9,regional_coach,23838
2021,10,regional_coach,33948
2021,11,regional_coach,55165
2021,12,regional_coach,67426
2022,1,regional_coach,51750
2022,2,regional_coach,57210
2022,3,regional_coach,73664
