East Pakenham,metro,3700,54500,1473.0
Union,metro,50850,593100,1166.4
Carrum,metro,41600,343700,826.2
Merinda Park,metro,301600,577750,191.6
Stony Point,metro,4350,6950,159.8
Officer,metro,132100,208600,157.9
Cheltenham,metro,454850,717500,157.7
Reservoir,metro,517550,757800,146.4
Burnley,metro,633700,881250,139.1
Huntingdale,metro,1151750,1590050,138.1
Cranbourne,metro,773050,1054250,136.4
Jolimont,metro,787850,1060400,134.6
Craigieburn,metro,1126250,1508250,133.9
Berwick,metro,754550,1008200,133.6
Oakleigh,metro,1215300,1624200,133.6
Spotswood,metro,273300,354600,129.7
Heidelberg,metro,647000,822300,127.1
Mernda,metro,527250,662700,125.7
Highett,metro,328050,410950,125.3
Jewell,metro,315750,395350,125.2
Richmond,metro,2965500,3712750,125.2
Baxter,metro,2000,2500,125.0
Carnegie,metro,833000,1015400,121.9
Macaulay,metro,249450,303550,121.7
Flemington Bridge,metro,225150,273600,121.5
Hawksburn,metro,369550,447000,121.0
Middle Gorge,metro,184700,222950,120.7
Newport,metro,1037400,1245950,120.1
Malvern,metro,586650,703650,119.9
North Melbourne,metro,1183050,1394050,117.8
Heyington,metro,163100,189500,116.2
Lynbrook,metro,352250,407450,115.7
Frankston,metro,896100,1035450,115.6
Brunswick,metro,304300,350600,115.2
Patterson,metro,249700,287550,115.2
Hawkstowe,metro,181900,208500,114.6
Noble Park,metro,868350,993800,114.4
Cardinia Road,metro,355850,405950,114.1
McKinnon,metro,324500,369950,114.0
Murrumbeena,metro,625600,712400,113.9
Bentleigh,metro,515100,586000,113.8
East Richmond,metro,506300,575900,113.7
Armadale,metro,414400,469600,113.3
Toorak,metro,370450,417900,112.8
Hallam,metro,463500,521500,112.5
Williamstown,metro,132850,149500,112.5
Caulfield,metro,2853200,3205100,112.3
Auburn,metro,584350,650000,111.2
Hughesdale,metro,501050,555350,110.8
Mentone,metro,528700,583650,110.4
Springvale,metro,1295050,1429400,110.4
Sunbury,metro,628800,691050,109.9
Seddon,metro,379400,416600,109.8
Tyabb,metro,3700,4050,109.5
Melbourne Central,metro,10865600,11876900,109.3
Clayton,metro,1388700,1514000,109.0
Footscray,metro,4038750,4383950,108.5
Southland,metro,441650,479000,108.5
Epping,metro,690350,748150,108.4
Broadmeadows,metro,810850,878300,108.3
Dandenong,metro,1819050,1970750,108.3
Royal Park,metro,269450,291800,108.3
Aspendale,metro,156650,169500,108.2
Westona,metro,212000,229400,108.2
Victoria Park,metro,612450,659700,107.7
Bayswater,metro,417400,446150,106.9
Pakenham,metro,465800,495750,106.4
South Kensington,metro,304750,324400,106.4
Collingwood,metro,460950,487500,105.8
Yarraville,metro,785800,820600,104.4
Seaholme,metro,89300,93100,104.3
Alphington,metro,239400,249100,104.1
Essendon,metro,1298700,1347950,103.8
Lalor,metro,477500,494550,103.6
Sandown Park,metro,443950,458700,103.3
Glen Iris,metro,253400,261300,103.1
South Morang,metro,554250,569650,102.8
Williamstown Beach,metro,162050,166350,102.7
Ringwood,metro,1475200,1514250,102.6
Gardiner,metro,389800,399400,102.5
Coolaroo,metro,274750,281400,102.4
Edithvale,metro,196750,201450,102.4
Anstey,metro,357050,365100,102.3
Ivanhoe,metro,604100,617600,102.2
Ormond,metro,528350,539450,102.1
Roxburgh Park,metro,488650,498650,102.0
Blackburn,metro,1185100,1206950,101.8
Clifton Hill,metro,709000,719300,101.5
Glenferrie,metro,1949900,1978650,101.5
South Yarra,metro,3151600,3199050,101.5
Seaford,metro,317100,320500,101.1
Moonee Ponds,metro,776300,782550,100.8
Altona,metro,261900,263300,100.5
Ascot Vale,metro,488800,491400,100.5
